기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
2019,전라북도,현지인방문자(a),3.15324188E8,3.11024581E8
2019,전라북도,외지인방문자(b),9.2151059E7,8.9167253E7
2019,전라북도,외국인방문자(c),915657.0,646399.0
2019,전라북도,외부방문자(b+c),9.3066716E7,8.9813652E7
2019,전라북도,전체방문자(a+b+c),4.08390903E8,4.00838233E8
2020,전라북도,현지인방문자(a),3.11365792E8,3.15324188E8
2020,전라북도,외지인방문자(b),8.3792698E7,9.2151059E7
2020,전라북도,외국인방문자(c),146640.0,915657.0
2020,전라북도,외부방문자(b+c),8.3939339E7,9.3066716E7
2020,전라북도,전체방문자(a+b+c),3.95305131E8,4.08390903E8
2021,전라북도,현지인방문자(a),3.5793192E8,3.11365792E8
2021,전라북도,외지인방문자(b),8.3144446E7,8.3792698E7
2021,전라북도,외국인방문자(c),154754.0,146640.0
2021,전라북도,외부방문자(b+c),8.32992E7,8.3939339E7
2021,전라북도,전체방문자(a+b+c),4.4123112E8,3.95305131E8
